GSR_Mean,GSR_Std,GSR_Variance,GSR_Min,GSR_Max,GSR_Range,GSR_PeakCount,GSR_ValleyCount,GSR_PeakMeanAmp,GSR_AUC,GSR_Slope,GSR_PeakTimeRatio,label,participant,video,freq0,freq1,freq2,freq3,freq4,freq5,freq6,freq7,Valence_Cat,Arousal_Cat
1.8082115746870295,0.1072216186663959,0.011496475509442,1.6528882493569652,2.0073520825855047,0.3544638332285394,2.0,5.0,2.005259292178615,657366.2757191381,-1.0057517022975734e-06,0.0110027341794435,1,102,2,0.9999999999770957,1.3585707107272044e-11,2.870166669986196e-12,3.735310424579587e-12,3.8722294818731365e-14,1.052760936378366e-12,2.0252906277288462e-13,1.4194507703949254e-12,1,0
3.602150667106799,0.1904283047437322,0.0362629392475717,2.8482272407529035,3.9983261113813873,1.1500988706284838,8.0,11.0,3.803033565658849,1238052.4994187306,-1.0707876941211137e-06,0.0465523612230469,2,102,3,0.9999999987306184,8.950634067326575e-10,6.577798189451324e-11,1.383071071005808e-11,1.0224384590924452e-10,8.098476862789262e-11,8.374151664211969e-11,2.7739399375445985e-11,0,0
1.6011565484454475,0.0609255153919431,0.0037119184257739,1.4712137682904594,1.716383935456108,0.2451701671656487,2.0,7.0,1.7094569001774396,308900.02431321994,-5.334045872555257e-07,0.0207335531089962,0,102,4,0.999999999694826,1.1779755288345392e-10,8.232624783326512e-11,5.249015534050417e-12,3.497714172287491e-11,4.3943423708069904e-11,1.0421540764011862e-11,1.0459175510357071e-11,1,1
1.7004765210042354,0.0748890288660192,0.0056083666444954,1.5670811760296908,1.8289674085023164,0.2618862324726256,3.0,8.0,1.808964696171658,536093.9551882979,-8.0760043238624e-07,0.0190317894322817,1,102,5,0.9999999999487116,3.616408515046115e-11,2.6576891096112123e-12,5.588255625144885e-13,4.1309931154760736e-12,3.2722349775742924e-12,3.383518112815108e-12,1.1207319790612726e-12,1,0
1.6138989851047725,0.0361612971865171,0.0013076394142116,1.5579075628031391,1.6891436425694255,0.1312360797662863,1.0,3.0,1.6891436425694255,235567.94249261968,-7.614943294672996e-07,0.013702102587642,0,102,6,0.9999999999591882,6.110534946667183e-12,1.6020079576341782e-11,1.3881196879363759e-11,1.222136891192851e-13,2.517771495126502e-13,2.0916561713335137e-12,2.334411256611233e-12,1,1
3.0026646809124564,0.7494623360112764,0.5616937930994794,1.737879642784263,3.838388801192939,2.100509158408676,10.0,13.0,3.49833308550715,651452.4076478456,1.0568315467127782e-05,0.0921833157416839,3,102,7,0.9999999981124102,7.206087701887006e-10,1.5555727237467782e-10,9.253773613434996e-11,4.441729089304371e-10,1.272456405337448e-10,1.91661881491742e-10,1.5580525751754447e-10,0,1
1.4182629949340029,0.0421823330317192,0.0017793492199988,1.343434638819922,1.5349163532257342,0.191481714405812,11.0,28.0,1.452009404380409,514696.16714248864,-3.365589220680939e-07,0.0606215917576679,1,102,8,0.999999999888477,7.863485209060726e-11,5.778640949053656e-12,1.2151967459516277e-12,8.983380490068352e-12,7.114699663443903e-12,7.356944088699911e-12,2.4388149415642875e-12,1,0
1.8057941345326145,0.0713739555287312,0.0050942415278173,1.6815166467803322,1.9347141536032315,0.2531975068228993,2.0,4.0,1.9256017167838808,623986.7579551811,-6.979447283201236e-07,0.0115758158056189,2,102,9,0.9999999999737608,3.93001980051517e-12,1.0302185435347616e-11,8.920783478112025e-12,7.851393733093235e-14,1.618936015855668e-13,1.3452789425510012e-12,1.5016730948650806e-12,0,0
2.514946467196516,0.080490843388603,0.0064787758694086,2.3712025966707992,2.6571692776729687,0.2859666810021695,2.0,3.0,2.654955500667985,575628.49301187,-1.1993520757525032e-06,0.0174761014312927,2,102,10,0.9999999999885112,4.400273783784852e-12,9.43010978481726e-13,5.632950227101573e-13,2.6975883984641388e-12,7.705322022329556e-13,1.1672072862313286e-12,9.47397286823236e-13,0,0
1.9048414613502265,0.1301584655618914,0.016941226157426,1.6280069878755696,2.19532600878772,0.5673190209121504,6.0,10.0,2.039997455448606,568239.1124562195,6.315776529797376e-08,0.0402260705163016,0,102,11,0.9999999993849112,3.1549496882626677e-10,2.0693829226817677e-10,5.1198119034132065e-11,2.352032239195576e-12,8.761235940550046e-13,2.329194939703997e-11,1.4937471454243548e-11,1,1
